idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp
000001;02/01/2024;153000.00;Appartement;37;93250;2
000001;03/01/2024;135000.00;Appartement;49;93290;2
000001;02/01/2024;220000.00;Appartement;90;93390;5
000001;04/01/2024;115000.00;Appartement;44;93800;2
000001;04/01/2024;115000.00;Appartement;20;93100;1
000001;04/01/2024;158000.00;Appartement;44;93140;2
000001;05/01/2024;240000.00;Appartement;76;93450;3
000001;02/01/2024;160000.00;Appartement;30;93300;2
000001;04/01/2024;315200.00;Appartement;58;93260;2
000001;02/01/2024;250110.00;Appartement;87;93110;4
000001;08/01/2024;536500.00;Appartement;66;93400;3
000001;02/01/2024;310000.00;Appartement;69;93600;2
000001;08/01/2024;135000.00;Appartement;42;93800;1
000001;08/01/2024;219000.00;Appartement;36;93100;2
000001;03/01/2024;65000.00;Appartement;10;93310;1
000001;05/01/2024;255000.00;Appartement;94;93600;5
000001;03/01/2024;360000.00;Maison;59;93160;3
000001;08/01/2024;204000.00;Appartement;70;93130;3
000001;08/01/2024;189000.00;Appartement;94;93270;5
000001;02/01/2024;112751.00;Appartement;59;93600;3
000001;04/01/2024;105000.00;Appartement;20;93110;1
000001;05/01/2024;282000.00;Maison;69;93190;4
000001;05/01/2024;482660.00;Appartement;78;93400;3
000001;04/01/2024;224000.00;Appartement;55;93110;3
000001;10/01/2024;180000.00;Appartement;82;93330;5
000001;09/01/2024;170000.00;Maison;28;93320;2
000001;03/01/2024;127000.00;Appartement;39;93360;2
000001;11/01/2024;140000.00;Appartement;32;93360;1
000001;05/01/2024;328100.00;Appartement;67;93230;3
000001;04/01/2024;455000.00;Maison;198;93420;5
000001;04/01/2024;455000.00;Maison;198;93420;5
000001;09/01/2024;400000.00;Maison;52;93290;3
000001;09/01/2024;400000.00;Maison;69;93290;4
000001;02/01/2024;200000.00;Maison;95;93420;5
000001;10/01/2024;95000.00;Appartement;47;93600;2
000001;11/01/2024;153000.00;Appartement;50;93220;2
000001;10/01/2024;492350.00;Appartement;69;93400;3
000001;10/01/2024;30000.00;Appartement;68;93260;3
000001;09/01/2024;242109.94;Appartement;70;93100;3
000001;09/01/2024;146314.20;Appartement;41;93100;2
000001;09/01/2024;167000.00;Appartement;41;93110;2
000001;09/01/2024;155000.00;Appartement;50;93300;2
000001;03/01/2024;95000.00;Appartement;33;93240;2
000001;05/01/2024;422000.00;Maison;105;93360;5
000001;04/01/2024;18828.00;Appartement;57;93100;3
000001;12/01/2024;236500.00;Maison;68;93290;3
000001;11/01/2024;83000.00;Appartement;60;93240;3
000001;05/01/2024;410000.00;Maison;123;93130;5
000001;05/01/2024;139000.00;Appartement;42;93200;2
000001;09/01/2024;217000.00;Maison;85;93270;4
000001;02/01/2024;84500.00;Appartement;24;93200;1
000001;04/01/2024;283000.00;Appartement;64;93300;3
000001;05/01/2024;102000.00;Appartement;26;93200;1
000001;05/01/2024;155000.00;Appartement;34;93200;2
000001;11/01/2024;185000.00;Appartement;59;93120;4
000001;09/01/2024;132000.00;Appartement;60;93190;3
000001;09/01/2024;127284.50;Appartement;60;93420;4
000001;08/01/2024;365000.00;Appartement;79;93360;4
000001;08/01/2024;220000.00;Appartement;58;93110;3
000001;12/01/2024;155750.00;Appartement;73;93140;4
000001;08/01/2024;152000.00;Appartement;33;93130;1
000001;08/01/2024;166000.00;Appartement;61;93190;3
000001;11/01/2024;179000.00;Appartement;60;93250;2
000001;05/01/2024;170000.00;Appartement;57;93340;3
000001;09/01/2024;165000.00;Appartement;27;93170;2
000001;10/01/2024;228000.00;Appartement;68;93110;3
000001;08/01/2024;219595.90;Appartement;46;93100;2
000001;02/01/2024;981000.00;Appartement;110;93400;5
000001;05/01/2024;50000.00;Appartement;18;93600;1
000001;11/01/2024;332600.00;Maison;91;93420;6
000001;02/01/2024;146510.00;Appartement;44;93110;2
000001;05/01/2024;195000.00;Maison;68;93380;4
000001;11/01/2024;177000.00;Appartement;39;93150;2
000001;04/01/2024;170200.00;Appartement;36;93200;2
000001;12/01/2024;340000.00;Appartement;44;93400;2
000001;11/01/2024;527000.00;Appartement;73;93400;4
000001;03/01/2024;215000.00;Appartement;39;93400;2
000001;09/01/2024;312000.00;Maison;84;93220;5
000001;09/01/2024;115000.00;Appartement;70;93110;3
000001;10/01/2024;147000.00;Appartement;64;93270;3
000001;09/01/2024;315000.00;Appartement;90;93150;4
000001;11/01/2024;340000.00;Maison;88;93600;5
000001;12/01/2024;155000.00;Appartement;33;93600;1
000001;05/01/2024;239000.00;Appartement;33;93500;2
000001;04/01/2024;380000.00;Appartement;55;93500;3
000001;12/01/2024;380000.00;Maison;131;93140;5
000001;11/01/2024;415000.00;Maison;78;93150;4
000001;12/01/2024;310000.00;Maison;88;93270;5
000001;12/01/2024;140000.00;Maison;63;93800;3
000001;03/01/2024;99000.00;Appartement;25;93190;1
000001;09/01/2024;182000.00;Appartement;68;93320;3
000001;12/01/2024;485000.00;Maison;82;93360;5
000001;11/01/2024;560000.00;Maison;80;93150;3
000001;12/01/2024;195000.00;Appartement;78;93200;4
000001;15/01/2024;450000.00;Maison;90;93460;5
000001;08/01/2024;254000.00;Appartement;29;93100;1
000001;11/01/2024;219505.00;Appartement;54;93350;2
000001;08/01/2024;25000.00;Appartement;61;93100;4
000001;11/01/2024;80000.00;Maison;83;93120;4
000001;13/01/2024;317000.00;Maison;77;93220;5
000001;02/01/2024;210000.00;Maison;95;93420;5
000001;16/01/2024;110176.00;Appartement;50;93420;3
000001;12/01/2024;368000.00;Maison;117;93420;4
000001;08/01/2024;240000.00;Maison;40;93100;3
000001;05/01/2024;162000.00;Appartement;40;93210;2
000001;17/01/2024;380000.00;Maison;82;93460;4
000001;12/01/2024;155150.00;Appartement;79;93290;4
000001;08/01/2024;144000.00;Appartement;62;93420;4
000001;04/01/2024;297000.00;Maison;103;93800;4
000001;09/01/2024;279000.00;Maison;65;93700;2
000001;09/01/2024;226720.44;Appartement;61;93300;4
000001;10/01/2024;50000.00;Appartement;18;93000;1
000001;15/01/2024;50000.00;Appartement;28;93140;1
000001;10/01/2024;295000.00;Appartement;60;93200;3
000001;03/01/2024;238000.00;Appartement;40;93100;3
000001;09/01/2024;216000.00;Appartement;30;93500;2
000001;09/01/2024;290000.00;Maison;81;93380;4
000001;08/01/2024;290000.00;Maison;79;93190;4
000001;03/01/2024;270000.00;Maison;81;93270;4
000001;05/01/2024;140000.00;Appartement;37;93420;2
000001;15/01/2024;280000.00;Maison;83;93140;4
000001;10/01/2024;585000.00;Appartement;84;93400;4
000001;13/01/2024;330000.00;Maison;69;93370;5
000001;11/01/2024;253000.00;Maison;76;93330;4
000001;10/01/2024;3000.00;Appartement;34;93500;2
000001;05/01/2024;185000.00;Appartement;72;93000;3
000001;11/01/2024;215000.00;Appartement;32;93310;1
000001;09/01/2024;110000.00;Appartement;27;93380;2
000001;15/01/2024;172000.00;Appartement;66;93190;3
000001;08/01/2024;89900.00;Appartement;21;93130;1
000001;16/01/2024;235250.00;Appartement;46;93600;2
000001;16/01/2024;185000.00;Appartement;48;93110;2
000001;16/01/2024;350000.00;Maison;95;93200;4
000001;16/01/2024;310000.00;Appartement;87;93170;4
000001;17/01/2024;222000.00;Appartement;26;93260;1
000001;05/01/2024;180000.00;Appartement;56;93000;3
000001;08/01/2024;78324.00;Appartement;23;93240;1
000001;15/01/2024;268000.00;Appartement;42;93170;2
000001;09/01/2024;345000.00;Maison;76;93200;5
000001;09/01/2024;299900.00;Appartement;64;93200;3
000001;15/01/2024;264000.00;Appartement;59;93000;3
000001;12/01/2024;141000.00;Appartement;30;93600;2
000001;12/01/2024;278500.00;Maison;72;93600;4
000001;17/01/2024;155000.00;Appartement;40;93100;2
000001;11/01/2024;385000.00;Appartement;58;93400;3
000001;12/01/2024;177000.00;Appartement;80;93200;4
000001;13/01/2024;155000.00;Maison;68;93190;3
000001;12/01/2024;84000.00;Appartement;42;93220;2
000001;04/01/2024;333000.00;Maison;76;93800;5
000001;03/01/2024;135000.00;Appartement;51;93290;2
000001;12/01/2024;345000.00;Appartement;51;93500;3
000001;10/01/2024;135000.00;Appartement;70;93290;3
000001;08/01/2024;160000.00;Appartement;24;93400;2
000001;16/01/2024;600000.00;Appartement;71;93600;4
000001;11/01/2024;233000.00;Appartement;61;93420;3
000001;05/01/2024;230000.00;Appartement;42;93300;2
000001;05/01/2024;230000.00;Appartement;18;93300;1
000001;05/01/2024;230000.00;Appartement;18;93300;1
000001;11/01/2024;418000.00;Maison;93;93100;5
000001;04/01/2024;43592.00;Appartement;27;93450;2
000001;05/01/2024;391800.00;Appartement;68;93230;3
000001;03/01/2024;320000.00;Appartement;63;93100;3
000001;08/01/2024;350000.00;Maison;80;93150;4
000001;16/01/2024;130000.00;Appartement;82;93330;4
000001;11/01/2024;135000.00;Appartement;43;93190;3
000001;11/01/2024;135000.00;Appartement;43;93190;3
000001;10/01/2024;415000.00;Maison;121;93300;4
000001;09/01/2024;112000.00;Appartement;32;93200;1
000001;11/01/2024;95610.00;Appartement;43;93420;2
000001;10/01/2024;220000.00;Maison;56;93700;3
000001;15/01/2024;313637.00;Appartement;66;93300;3
000001;12/01/2024;255000.00;Appartement;65;93350;3
000001;05/01/2024;280000.00;Appartement;34;93100;2
000001;16/01/2024;156200.00;Maison;40;93800;2
000001;16/01/2024;364002.00;Appartement;60;93300;3
000001;05/01/2024;260000.00;Appartement;63;93160;3
000001;08/01/2024;599595.00;Maison;123;93230;5
000001;11/01/2024;110000.00;Appartement;19;93100;1
000001;11/01/2024;110000.00;Appartement;40;93100;2
000001;11/01/2024;110000.00;Appartement;28;93100;2
000001;11/01/2024;110000.00;Appartement;36;93100;2
000001;11/01/2024;110000.00;Appartement;36;93100;2
000001;18/01/2024;319800.00;Appartement;81;93230;4
000001;05/01/2024;380000.00;Appartement;71;93260;3
000001;09/01/2024;139000.00;Appartement;29;93360;2
000001;19/01/2024;520000.00;Appartement;68;93500;3
000001;16/01/2024;250000.00;Maison;80;93300;4
000001;19/01/2024;209500.00;Appartement;68;93240;3
000001;15/01/2024;348000.00;Appartement;47;93400;2
000001;18/01/2024;480000.00;Appartement;92;93150;4
000001;18/01/2024;480000.00;Appartement;92;93150;4
000001;18/01/2024;480000.00;Appartement;35;93150;2
000001;15/01/2024;514200.00;Maison;180;93600;8
000001;10/01/2024;602300.00;Appartement;65;93100;3
000001;15/01/2024;400000.00;Maison;76;93190;4
000001;10/01/2024;77000.00;Appartement;19;93300;1
000001;12/01/2024;187500.00;Appartement;60;93220;3
000001;16/01/2024;279000.00;Maison;61;93390;4
000001;18/01/2024;109000.00;Appartement;35;93800;2
000001;16/01/2024;150000.00;Appartement;62;93600;3
000001;19/01/2024;470000.00;Appartement;72;93100;3
000001;09/01/2024;188500.00;Appartement;37;93110;2
000001;09/01/2024;188500.00;Appartement;89;93110;4
000001;18/01/2024;176000.00;Appartement;52;93220;3
000001;12/01/2024;430000.00;Maison;75;93220;3
000001;11/01/2024;80000.00;Appartement;20;93000;1
000001;17/01/2024;6000.00;Appartement;25;93400;1
000001;10/01/2024;145000.00;Appartement;56;93190;3
000001;17/01/2024;779650.00;Maison;176;93360;7
000001;12/01/2024;138000.00;Appartement;48;93190;2
000001;08/01/2024;162000.00;Appartement;58;93700;3
000001;17/01/2024;162000.00;Appartement;36;93600;1
000001;08/01/2024;195000.00;Appartement;43;93110;2
000001;10/01/2024;461500.00;Appartement;80;93340;4
000001;18/01/2024;215000.00;Appartement;30;93800;3
000001;18/01/2024;215000.00;Appartement;34;93800;2
000001;18/01/2024;200000.00;Appartement;32;93400;2
000001;22/01/2024;115000.00;Appartement;34;93000;2
000001;15/01/2024;470000.00;Maison;90;93110;3
000001;19/01/2024;268363.84;Appartement;59;93110;3
000001;19/01/2024;185000.00;Appartement;86;93190;4
000001;12/01/2024;180000.00;Appartement;82;93200;4
000001;15/01/2024;210542.92;Appartement;61;93100;3
000001;12/01/2024;131200.00;Appartement;58;93000;3
000001;12/01/2024;131200.00;Appartement;56;93000;2
000001;16/01/2024;263955.00;Appartement;74;93290;4
000001;10/01/2024;240000.00;Appartement;36;93400;2
000001;22/01/2024;189000.00;Appartement;39;93110;2
000001;19/01/2024;112000.00;Appartement;48;93420;1
000001;19/01/2024;275000.00;Maison;42;93600;2
000001;17/01/2024;305000.00;Maison;93;93320;5
000001;22/01/2024;240000.00;Appartement;56;93130;3
000001;12/01/2024;161200.00;Maison;65;93140;4
000001;19/01/2024;127000.00;Appartement;32;93330;1
000001;18/01/2024;242000.00;Appartement;57;93100;3
000001;18/01/2024;70000.00;Appartement;15;93100;1
000001;23/01/2024;2000.00;Appartement;48;93100;3
000001;10/01/2024;177000.00;Appartement;66;93330;3
000001;11/01/2024;259000.00;Appartement;60;93160;3
000001;15/01/2024;183000.00;Appartement;41;93120;2
000001;10/01/2024;213000.00;Maison;75;93330;4
000001;19/01/2024;102000.00;Appartement;37;93320;2
000001;12/01/2024;205000.00;Appartement;30;93500;2
000001;19/01/2024;405000.00;Appartement;66;93400;3
000001;19/01/2024;135000.00;Appartement;65;93110;3
000001;18/01/2024;235000.00;Appartement;35;93380;0
000001;18/01/2024;235000.00;Appartement;35;93380;1
000001;19/01/2024;120000.00;Appartement;65;93270;3
000001;03/01/2024;230000.00;Maison;24;93600;2
000001;19/01/2024;503300.00;Appartement;63;93500;3
000001;18/01/2024;325000.00;Maison;50;93600;3
000001;15/01/2024;150000.00;Appartement;24;93400;1
000001;04/01/2024;160000.00;Appartement;30;93200;2
000001;23/01/2024;140000.00;Appartement;71;93600;4
000001;12/01/2024;277000.00;Maison;54;93800;3
000001;19/01/2024;124500.00;Appartement;64;93800;3
000001;03/01/2024;450000.00;Maison;169;93190;5
000001;03/01/2024;450000.00;Maison;169;93190;5
000001;12/01/2024;120000.00;Appartement;30;93300;2
000001;19/01/2024;150000.00;Appartement;43;93290;2
000001;17/01/2024;355000.00;Maison;100;93290;4
000001;11/01/2024;200000.00;Appartement;10;93260;1
000001;11/01/2024;200000.00;Appartement;25;93260;1
000001;19/01/2024;205200.00;Maison;63;93420;3
000001;17/01/2024;315000.00;Maison;82;93600;3
000001;17/01/2024;220000.00;Appartement;75;93300;3
000001;16/01/2024;430000.00;Maison;114;93160;5
000001;11/01/2024;390000.00;Maison;90;93350;5
000001;19/01/2024;121000.00;Appartement;34;93500;2
000001;19/01/2024;227000.00;Appartement;50;93230;2
000001;15/01/2024;112000.00;Appartement;26;93700;1
000001;10/01/2024;445000.00;Maison;45;93230;2
000001;09/01/2024;389500.00;Maison;70;93130;5
000001;15/01/2024;140000.00;Maison;63;93800;4
000001;11/01/2024;130000.00;Appartement;58;93240;3
000001;19/01/2024;410000.00;Appartement;130;93100;5
000001;17/01/2024;45000.00;Appartement;20;93700;1
000001;12/01/2024;212900.00;Appartement;27;93260;2
000001;22/01/2024;224000.00;Appartement;49;93230;2
000001;12/01/2024;251800.00;Appartement;34;93310;1
000001;09/01/2024;130000.00;Appartement;30;93200;1
000001;15/01/2024;272000.00;Maison;65;93300;3
000001;09/01/2024;135000.00;Appartement;23;93100;1
000001;11/01/2024;90000.00;Appartement;18;93170;1
000001;22/01/2024;203000.00;Maison;54;93420;4
000001;16/01/2024;435000.00;Maison;34;93100;3
000001;19/01/2024;132000.00;Appartement;20;93170;1
000001;19/01/2024;132000.00;Appartement;20;93170;1
000001;19/01/2024;132000.00;Appartement;16;93170;1
000001;19/01/2024;170000.00;Appartement;52;93200;2
000001;10/01/2024;410000.00;Maison;76;93130;4
000001;10/01/2024;333000.00;Maison;100;93460;4
000001;15/01/2024;149000.00;Appartement;27;93300;2
000001;05/01/2024;260100.00;Appartement;88;93240;4
000001;12/01/2024;219000.00;Maison;59;93320;3
000001;10/01/2024;388000.00;Maison;94;93160;5
000001;18/01/2024;126000.00;Appartement;34;93300;2
000001;12/01/2024;156700.00;Appartement;31;93200;1
000001;16/01/2024;127000.00;Appartement;15;93400;1
000001;17/01/2024;345000.00;Maison;87;93420;3
000001;18/01/2024;253200.00;Appartement;75;93700;3
000001;05/01/2024;618000.00;Appartement;85;93400;4
000001;19/01/2024;200000.00;Appartement;53;93700;3
000001;23/01/2024;280000.00;Appartement;67;93340;3
000001;19/01/2024;307000.00;Maison;64;93370;4
000001;16/01/2024;150000.00;Appartement;24;93260;1
000001;18/01/2024;400000.00;Appartement;50;93190;3
000001;03/01/2024;181000.00;Appartement;46;93220;2
000001;10/01/2024;180000.00;Appartement;64;93100;4
000001;23/01/2024;261999.98;Appartement;64;93440;3
000001;16/01/2024;277300.00;Appartement;63;93150;3
000001;19/01/2024;328000.00;Appartement;28;93700;2
000001;19/01/2024;328000.00;Appartement;27;93700;1
000001;19/01/2024;328000.00;Appartement;18;93700;1
000001;08/01/2024;178000.00;Appartement;69;93160;3
000001;23/01/2024;239000.00;Maison;72;93270;3
000001;23/01/2024;273000.00;Appartement;53;93260;3
000001;18/01/2024;489650.00;Appartement;93;93310;4
000001;12/01/2024;183810.00;Appartement;73;93360;3
000001;13/01/2024;142000.00;Appartement;37;93320;1
000001;10/01/2024;987500.00;Maison;265;93200;7
000001;09/01/2024;171000.00;Appartement;60;93700;2
000001;16/01/2024;42000.00;Appartement;9;93270;1
000001;18/01/2024;535000.00;Appartement;80;93400;4
000001;19/01/2024;340000.00;Appartement;58;93290;3
000001;19/01/2024;340000.00;Appartement;34;93290;2
000001;19/01/2024;349500.00;Appartement;64;93210;3
000001;13/01/2024;168000.00;Appartement;84;93140;5
000001;22/01/2024;37000.00;Appartement;23;93130;1
000001;19/01/2024;320000.00;Maison;110;93800;5
000001;04/01/2024;201000.00;Appartement;42;93160;2
000001;04/01/2024;183000.00;Appartement;50;93160;2
000001;25/01/2024;138550.00;Appartement;20;93800;1
000001;04/01/2024;153640.00;Appartement;29;93200;1
000001;08/01/2024;245000.00;Appartement;53;93170;2
000001;19/01/2024;195000.00;Appartement;90;93330;4
000001;12/01/2024;285000.00;Maison;90;93700;4
000001;18/01/2024;94500.00;Appartement;14;93360;1
000001;19/01/2024;248500.00;Appartement;38;93100;2
000001;11/01/2024;325000.00;Appartement;40;93300;2
000001;05/01/2024;238000.00;Appartement;41;93360;2
000001;24/01/2024;286000.00;Maison;42;93600;3
000001;18/01/2024;296000.00;Appartement;63;93100;4
000001;24/01/2024;280000.00;Maison;80;93600;3
000001;24/01/2024;307000.00;Maison;90;93600;6
000001;29/01/2024;58804.00;Appartement;27;93500;2
000001;29/01/2024;58804.00;Appartement;16;93500;1
000001;05/01/2024;112000.00;Appartement;30;93110;2
000001;26/01/2024;244250.00;Appartement;34;93310;3
000001;19/01/2024;223000.00;Appartement;50;93100;2
000001;22/01/2024;486000.00;Appartement;79;93230;4
000001;25/01/2024;158500.00;Appartement;61;93800;3
000001;19/01/2024;111500.00;Appartement;37;93240;1
000001;23/01/2024;219278.25;Appartement;63;93100;3
000001;23/01/2024;190011.30;Appartement;49;93100;2
000001;18/01/2024;235000.00;Maison;95;93420;5
000001;12/01/2024;195000.00;Appartement;40;93170;3
000001;25/01/2024;276000.00;Appartement;16;93100;1
000001;25/01/2024;276000.00;Appartement;30;93100;2
000001;22/01/2024;305000.00;Maison;83;93190;3
000001;11/01/2024;224187.50;Appartement;79;93380;4
000001;17/01/2024;185000.00;Appartement;33;93500;2
000001;09/01/2024;177807.11;Appartement;20;93500;2
000001;25/01/2024;1500.00;Appartement;23;93300;2
000001;25/01/2024;308000.00;Maison;73;93600;4
000001;19/01/2024;1500.00;Appartement;25;93300;2
000001;20/01/2024;114000.00;Appartement;40;93600;3
000001;03/01/2024;243000.00;Appartement;39;93500;3
000001;23/01/2024;189196.00;Appartement;61;93200;3
000001;25/01/2024;406000.00;Appartement;82;93230;4
000001;23/01/2024;60000.00;Appartement;15;93140;1
000001;03/01/2024;219000.00;Appartement;38;93310;2
000001;24/01/2024;224000.00;Appartement;58;93230;2
000001;15/01/2024;200000.00;Maison;65;93290;3
000001;25/01/2024;235000.00;Appartement;48;93230;2
000001;17/01/2024;545000.00;Appartement;50;93100;2
000001;17/01/2024;545000.00;Appartement;50;93100;2
000001;17/01/2024;545000.00;Appartement;12;93100;1
000001;26/01/2024;145000.00;Appartement;52;93700;3
000001;25/01/2024;330000.00;Maison;66;93700;2
000001;05/01/2024;251900.00;Maison;65;93220;3
000001;25/01/2024;189020.83;Appartement;42;93600;2
000001;25/01/2024;210000.00;Appartement;38;93400;2
000001;17/01/2024;138000.00;Appartement;36;93190;2
000001;18/01/2024;158000.00;Appartement;49;93320;3
000001;18/01/2024;130500.00;Appartement;27;93370;1
000001;18/01/2024;189000.00;Appartement;50;93320;3
000001;24/01/2024;230600.00;Appartement;68;93360;3
000001;16/01/2024;212000.00;Appartement;35;93300;2
000001;16/01/2024;212000.00;Appartement;56;93300;4
000001;19/01/2024;216580.00;Appartement;73;93420;4
000001;09/01/2024;310000.00;Maison;32;93700;1
000001;09/01/2024;310000.00;Maison;64;93700;3
000001;09/01/2024;130000.00;Appartement;64;93140;4
000001;29/01/2024;65000.00;Appartement;50;93340;2
000001;18/01/2024;210000.00;Appartement;31;93500;2
000001;30/01/2024;265000.00;Appartement;52;93140;3
000001;12/01/2024;159400.00;Appartement;29;93300;2
000001;16/01/2024;405000.00;Maison;60;93130;3
000001;17/01/2024;210000.00;Appartement;50;93170;3
000001;16/01/2024;125000.00;Appartement;38;93250;2
000001;18/01/2024;157000.00;Appartement;68;93190;3
000001;18/01/2024;157000.00;Appartement;48;93190;2
000001;04/01/2024;302300.00;Appartement;111;93110;6
000001;10/01/2024;176000.00;Appartement;81;93380;4
000001;23/01/2024;60000.00;Appartement;83;93100;4
000001;19/01/2024;180000.00;Maison;50;93290;3
000001;25/01/2024;91000.00;Appartement;22;93310;1
000001;09/01/2024;231000.00;Appartement;69;93250;3
000001;25/01/2024;100000.00;Appartement;26;93000;2
000001;03/01/2024;148000.00;Appartement;40;93140;2
000001;26/01/2024;185400.00;Appartement;42;93260;2
000001;26/01/2024;185400.00;Appartement;42;93260;2
000001;18/01/2024;295000.00;Appartement;55;93500;3
000001;08/01/2024;300000.00;Maison;66;93380;4
000001;16/01/2024;160000.00;Appartement;54;93320;2
000001;23/01/2024;200000.00;Appartement;27;93260;2
000001;23/01/2024;165000.00;Appartement;70;93200;3
000001;19/01/2024;1355400.00;Maison;198;93340;5
000001;26/01/2024;322000.00;Maison;110;93410;4
000001;10/01/2024;303000.00;Appartement;103;93320;5
000001;19/01/2024;555000.00;Appartement;76;93400;4
000001;10/01/2024;195000.00;Appartement;96;93290;5
000001;11/01/2024;345000.00;Maison;90;93600;5
000001;18/01/2024;147500.00;Appartement;40;93320;2
000001;03/01/2024;310000.00;Maison;94;93250;4
000001;26/01/2024;420000.00;Appartement;53;93400;4
000001;24/01/2024;300000.00;Appartement;65;93220;3
000001;12/01/2024;302840.00;Appartement;70;93160;3
