idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp;no_voie;type_voie;voie;commune
000001;02/01/2025;198100.00;Appartement;48;93170;3;50;RUE;JULES FERRY;BAGNOLET
000001;03/01/2025;362000.00;Appartement;106;93110;5;11;RUE;DU QUATRIEME ZOUAVE;ROSNY-SOUS-BOIS
000001;02/01/2025;517030.00;Maison;63;93110;3;75;RUE;VICTOR HUGO;ROSNY-SOUS-BOIS
000001;03/01/2025;152550.00;Maison;55;93170;3;158;AV;DE LA DHUYS;BAGNOLET
000001;03/01/2025;380000.00;Maison;60;93110;3;18;RUE;SAINT DENIS;ROSNY-SOUS-BOIS
000001;06/01/2025;236000.00;Appartement;63;93110;3;3;RUE;NUNGESSER ET COLI;ROSNY-SOUS-BOIS
000001;03/01/2025;600000.00;Maison;165;93190;6;18;RUE;EDOUARD HERRIOT;LIVRY-GARGAN
000001;06/01/2025;551000.00;Maison;93;93100;4;1;RUE;VICTOR BEAUSSE;MONTREUIL
000001;06/01/2025;182800.00;Appartement;48;93100;3;91;AV;PASTEUR;MONTREUIL
000001;02/01/2025;580000.00;Maison;148;93100;6;155;RUE;BABEUF;MONTREUIL
000001;03/01/2025;114000.00;Appartement;37;93300;2;3;IMP;BORDIER;AUBERVILLIERS
000001;03/01/2025;480000.00;Appartement;75;93400;4;6;ALL;DE PARIS;SAINT-OUEN-SUR-SEINE
000001;07/01/2025;360000.00;Appartement;59;93100;3;31;RUE;DU CAPITAINE DREYFUS;MONTREUIL
000001;02/01/2025;253000.00;Appartement;65;93330;3;2;RUE;DU DOCTEUR PENEAU;NEUILLY-SUR-MARNE
000001;07/01/2025;168500.00;Appartement;56;93330;2;1;RUE;PAUL ET CAMILLE THOMOUX;NEUILLY-SUR-MARNE
000001;06/01/2025;285000.00;Appartement;62;93340;3;110;AV;THIERS;LE RAINCY
000001;07/01/2025;182000.00;Appartement;69;93140;4;156;RUE;EDOUARD VAILLANT;BONDY
000001;07/01/2025;350000.00;Maison;85;93290;4;23;AV;EMILE ZOLA;TREMBLAY-EN-FRANCE
000001;06/01/2025;195000.00;Appartement;58;93230;3;26;RUE;DE LA BUTTE BRACHET;ROMAINVILLE
000001;02/01/2025;237000.00;Appartement;34;93100;2;30;RUE;SAIGNE;MONTREUIL
000001;03/01/2025;157000.00;Appartement;80;93270;4;1;ALL;MARYSE HILSZ;SEVRAN
000001;06/01/2025;325000.00;Appartement;45;93260;2;93;RUE;ROMAIN ROLLAND;LES LILAS
000001;06/01/2025;600000.00;Appartement;67;93400;3;35;RUE;SIMONE VEIL;SAINT-OUEN-SUR-SEINE
000001;08/01/2025;115000.00;Appartement;25;93410;2;50;AV;DU GEN CHARLES DE GAULLE;VAUJOURS
000001;07/01/2025;220000.00;Appartement;65;93130;3;80;BD;ROGER SALENGRO;NOISY-LE-SEC
000001;09/01/2025;1075000.00;Appartement;127;93100;4;2;RUE;NAVOISEAU;MONTREUIL
000001;10/01/2025;524000.00;Maison;96;93110;4;8;RUE;PASTEUR;ROSNY-SOUS-BOIS
000001;10/01/2025;380000.00;Maison;82;93000;3;8;RUE;VIRGINIA LEREBOURS;BOBIGNY
000001;09/01/2025;210000.00;Appartement;37;93500;2;2;AV;EDOUARD VAILLANT;PANTIN
000001;08/01/2025;131000.00;Appartement;43;93600;2;18;AV;JEANNE D ARC;AULNAY SOUS BOIS
000001;07/01/2025;230000.00;Appartement;38;93170;2;17;RUE;DES PERNELLES;BAGNOLET
000001;07/01/2025;230000.00;Appartement;9;93170;1;17;RUE;DES PERNELLES;BAGNOLET
000001;06/01/2025;302900.00;Maison;76;93220;3;4;AV;DE LA PLAINE;GAGNY
000001;06/01/2025;253000.00;Appartement;45;93100;2;1;IMP;DES CHANTEREINES;MONTREUIL
000001;10/01/2025;635000.00;Appartement;79;93400;4;73;AV;DU CAPITAINE GLARNER;SAINT-OUEN-SUR-SEINE
000001;10/01/2025;440000.00;Appartement;63;93400;3;7;RUE;DES ENTREPRENEURS;SAINT-OUEN-SUR-SEINE
000001;08/01/2025;250000.00;Maison;70;93230;4;1;VLA;FRATERNITE;ROMAINVILLE
000001;07/01/2025;97500.00;Appartement;30;93420;1;2;RUE;GUTENBERG;VILLEPINTE
000001;06/01/2025;248000.00;Appartement;79;93330;4;2;BD;ARISTIDE BRIAND;NEUILLY-SUR-MARNE
000001;09/01/2025;400000.00;Appartement;75;93210;4;1;MAIL;JEAN ZAY;SAINT-DENIS
000001;09/01/2025;250000.00;Appartement;61;93400;3;17;RUE;JEAN-JACQUES ROUSSEAU;SAINT-OUEN-SUR-SEINE
000001;09/01/2025;365500.00;Appartement;58;93100;3;48;BD;HENRI BARBUSSE;MONTREUIL
000001;09/01/2025;310000.00;Maison;130;93290;5;28;AV;ERNEST RENAN;TREMBLAY-EN-FRANCE
000001;13/01/2025;334000.00;Appartement;94;93160;5;20;RUE;CHARLES PRANARD;NOISY-LE-GRAND
000001;13/01/2025;141500.00;Appartement;50;93190;2;17;AV;CESAR COLLAVERI;LIVRY-GARGAN
000001;09/01/2025;177000.00;Appartement;30;93290;2;100;RTE;DES PETITS PONTS;TREMBLAY-EN-FRANCE
000001;10/01/2025;360000.00;Maison;89;93160;3;35;RUE;DES BOIS;NOISY-LE-GRAND
000001;02/01/2025;298000.00;Appartement;53;93310;2;75;RUE;GABRIEL PERI;LE PRE-SAINT-GERVAIS
000001;03/01/2025;321000.00;Appartement;61;93500;3;65;RUE;VICTOR HUGO;PANTIN
